бачити;to see;Uk-ua-male-бачити.ogg
працювати;to work;Uk-ua-male-працювати.ogg
читати;to read;Uk-ua-male-читати.ogg
міняти;to change;Uk-ua-male-міняти.ogg
обирати;to elect, choose;Uk-ua-male-обирати.ogg
вважати;to consider (that), deem;Uk-ua-male-вважати.ogg
керувати;to direct, lead (drive, manage);Uk-ua-male-керувати.ogg
привітати;to greet;Uk-ua-male-привітати.ogg
створити;to create (perfectum);Uk-ua-male-створити.ogg
будувати;to build;Uk-ua-male-будувати.ogg
вирішувати;to resolve, decide;Uk-ua-male-вирішувати.ogg
думати;to think;Uk-ua-male-думати.ogg
дозволяти;to allow;Uk-ua-male-дозволяти.ogg
починати;to start, begin;Uk-ua-male-починати.ogg
співати;to sing;Uk-ua-male-співати.ogg
